Time(s)	P_load(kW)	P_pv(kW)	P_grid(kW)	ChargeReq(kW)
0	100	50	50	0
0.1	100	52.5	47.5	1.25
0.2	100	55	46.25	1.4
0.3	100	57.5	43.9	2.113
0.4	100	60	42.11	3.944
0.5	100	62.5	41.44	3.857
0.6	100	65	38.86	4.736
0.7	100	67.5	37.24	6.382
0.8	100	70	36.38	6.437
0.9	100	72.5	33.94	7.296
1	100	75	32.3	8.852
1.1	100	77.5	31.35	9.001
1.2	100	80	29	9.863
1.3	100	82.5	27.36	11.32
1.4	100	85	26.32	11.57
1.5	100	87.5	24.07	12.43
1.6	100	90	22.43	13.79
1.7	100	92.5	21.29	14.13
1.8	100	95	19.13	15
1.9	100	97.5	17.5	16.25
2	100	100	16.25	16.7
2.1	100	97.5	19.2	0
2.2	100	95	5	0
2.3	100	92.5	7.5	0
2.4	100	90	10	0
2.5	100	87.5	12.5	0
2.6	100	85	15	0
2.7	100	82.5	17.5	0
2.8	100	80	20	0
2.9	100	77.5	22.5	0
3	100	75	25	0
3.1	100	72.5	27.5	0
3.2	100	70	30	0
3.3	100	67.5	32.5	0
3.4	100	65	35	0
3.5	100	62.5	37.5	0
3.6	100	60	40	0
3.7	100	57.5	42.5	0
3.8	100	55	45	0
3.9	100	52.5	47.5	0
4	100	50	50	0
4.1	100	52.5	47.5	0.9125
4.2	100	55	45.91	1.231
4.3	100	57.5	43.73	1.863
4.4	100	60	41.86	4.069
4.5	100	62.5	41.57	3.797
4.6	100	65	38.8	4.767
4.7	100	67.5	37.27	6.366
4.8	100	70	36.37	6.444
4.9	100	72.5	33.94	7.292
5	100	75	32.29	8.854
5.1	100	77.5	31.35	9
5.2	100	80	29	9.864
5.3	100	82.5	27.36	11.32
5.4	100	85	26.32	11.57
5.5	100	87.5	24.07	12.43
5.6	100	90	22.43	13.79
5.7	100	92.5	21.29	14.13
5.8	100	95	19.13	15
5.9	100	97.5	17.5	16.25
6	100	100	16.25	16.7
6.1	100	97.5	19.2	0
6.2	100	95	5	0
6.3	100	92.5	7.5	0
6.4	100	90	10	0
6.5	100	87.5	12.5	0
6.6	100	85	15	0
6.7	100	82.5	17.5	0
6.8	100	80	20	0
6.9	100	77.5	22.5	0
7	100	75	25	0
7.1	100	72.5	27.5	0
7.2	100	70	30	0
7.3	100	67.5	32.5	0
7.4	100	65	35	0
7.5	100	62.5	37.5	0
7.6	100	60	40	0
7.7	100	57.5	42.5	0
7.8	100	55	45	0
7.9	100	52.5	47.5	0
8	100	50	50	0
8.1	100	52.5	47.5	0.9125
8.2	100	55	45.91	1.231
8.3	100	57.5	43.73	1.863
8.4	100	60	41.86	4.069
8.5	100	62.5	41.57	3.797
8.6	100	65	38.8	4.767
8.7	100	67.5	37.27	6.366
8.8	100	70	36.37	6.444
8.9	100	72.5	33.94	7.292
9	100	75	32.29	8.854
9.1	100	77.5	31.35	9
9.2	100	80	29	9.864
9.3	100	82.5	27.36	11.32
9.4	100	85	26.32	11.57
9.5	100	87.5	24.07	12.43
9.6	100	90	22.43	13.79
9.7	100	92.5	21.29	14.13
9.8	100	95	19.13	15
9.9	100	97.5	17.5	16.25
10	100	100	16.25	16.7
10.1	100	97.5	19.2	0
10.2	100	95	5	0
10.3	100	92.5	7.5	0
10.4	100	90	10	0
10.5	100	87.5	12.5	0
10.6	100	85	15	0
10.7	100	82.5	17.5	0
10.8	100	80	20	0
10.9	100	77.5	22.5	0
11	100	75	25	0
11.1	100	72.5	27.5	0
11.2	100	70	30	0
11.3	100	67.5	32.5	0
11.4	100	65	35	0
11.5	100	62.5	37.5	0
11.6	100	60	40	0
11.7	100	57.5	42.5	0
11.8	100	55	45	0
11.9	100	52.5	47.5	0
12	100	50	50	0
12.1	100	52.5	47.5	0.9125
12.2	100	55	45.91	1.231
12.3	100	57.5	43.73	1.863
12.4	100	60	41.86	4.069
12.5	100	62.5	41.57	3.797
12.6	100	65	38.8	4.767
12.7	100	67.5	37.27	6.366
12.8	100	70	36.37	6.444
12.9	100	72.5	33.94	7.292
13	100	75	32.29	8.854
13.1	100	77.5	31.35	9
13.2	100	80	29	9.864
13.3	100	82.5	27.36	11.32
13.4	100	85	26.32	11.57
13.5	100	87.5	24.07	12.43
13.6	100	90	22.43	13.79
13.7	100	92.5	21.29	14.13
13.8	100	95	19.13	15
13.9	100	97.5	17.5	16.25
14	100	100	16.25	16.7
