Time_s,Load_kW,P_grid_kW,P_bat_kW,A_window_kW,P_req_kW,en,comm,alarm
0.000,200.000,200.000,0.000,200.000,0.000,1,0,0
0.100,200.000,200.000,0.000,200.000,0.000,1,0,0
0.200,200.000,200.000,0.000,200.000,0.000,1,0,0
0.300,200.000,200.000,0.000,200.000,0.000,1,0,0
0.400,200.000,200.000,0.000,200.000,0.000,1,0,0
0.500,200.000,200.000,0.000,200.000,0.000,1,0,0
0.600,200.000,200.000,0.000,200.000,0.000,1,0,0
0.700,200.000,200.000,0.000,200.000,0.000,1,0,0
0.800,200.000,200.000,0.000,200.000,0.000,1,0,0
0.900,200.000,200.000,0.000,200.000,0.000,1,0,0
1.000,200.000,200.000,0.000,200.000,0.000,1,0,0
1.100,200.000,200.000,0.000,200.000,0.000,1,0,0
1.200,200.000,200.000,0.000,200.000,0.000,1,0,0
1.300,200.000,200.000,0.000,200.000,0.000,1,0,0
1.400,200.000,200.000,0.000,200.000,0.000,1,0,0
1.500,200.000,200.000,0.000,200.000,0.000,1,0,0
1.600,200.000,200.000,0.000,200.000,0.000,1,0,0
1.700,200.000,200.000,0.000,200.000,0.000,1,0,0
1.800,200.000,200.000,0.000,200.000,0.000,1,0,0
1.900,200.000,200.000,0.000,200.000,0.000,1,0,0
2.000,200.000,200.000,0.000,200.000,0.000,1,0,0
2.100,200.000,200.000,0.000,200.000,0.000,1,0,0
2.200,200.000,200.000,0.000,200.000,0.000,1,0,0
2.300,200.000,200.000,0.000,200.000,0.000,1,0,0
2.400,200.000,200.000,0.000,200.000,0.000,1,0,0
2.500,200.000,200.000,0.000,200.000,0.000,1,0,0
2.600,200.000,200.000,0.000,200.000,0.000,1,0,0
2.700,200.000,200.000,0.000,200.000,0.000,1,0,0
2.800,200.000,200.000,0.000,200.000,0.000,1,0,0
2.900,200.000,200.000,0.000,200.000,0.000,1,0,0
3.000,200.000,200.000,0.000,200.000,0.000,1,0,0
3.100,200.000,200.000,0.000,200.000,0.000,1,0,0
3.200,200.000,200.000,0.000,200.000,0.000,1,0,0
3.300,200.000,200.000,0.000,200.000,0.000,1,0,0
3.400,200.000,200.000,0.000,200.000,0.000,1,0,0
3.500,200.000,200.000,0.000,200.000,0.000,1,0,0
3.600,200.000,200.000,0.000,200.000,0.000,1,0,0
3.700,200.000,200.000,0.000,200.000,0.000,1,0,0
3.800,200.000,200.000,0.000,200.000,0.000,1,0,0
3.900,200.000,200.000,0.000,200.000,0.000,1,0,0
4.000,200.000,200.000,0.000,200.000,0.000,1,0,0
4.100,200.000,200.000,0.000,200.000,0.000,1,0,0
4.200,200.000,200.000,0.000,200.000,0.000,1,0,0
4.300,200.000,200.000,0.000,200.000,0.000,1,0,0
4.400,200.000,200.000,0.000,200.000,0.000,1,0,0
4.500,200.000,200.000,0.000,200.000,0.000,1,0,0
4.600,200.000,200.000,0.000,200.000,0.000,1,0,0
4.700,200.000,200.000,0.000,200.000,0.000,1,0,0
4.800,200.000,200.000,0.000,200.000,0.000,1,0,0
4.900,200.000,200.000,0.000,200.000,0.000,1,0,0
5.000,200.000,200.000,0.000,200.000,0.000,1,0,0
5.100,200.000,200.000,0.000,200.000,0.000,1,0,0
5.200,200.000,200.000,0.000,200.000,0.000,1,0,0
5.300,200.000,200.000,0.000,200.000,0.000,1,0,0
5.400,200.000,200.000,0.000,200.000,0.000,1,0,0
5.500,200.000,200.000,0.000,200.000,0.000,1,0,0
5.600,200.000,200.000,0.000,200.000,0.000,1,0,0
5.700,200.000,200.000,0.000,200.000,0.000,1,0,0
5.800,200.000,200.000,0.000,200.000,0.000,1,0,0
5.900,200.000,200.000,0.000,200.000,0.000,1,0,0
6.000,200.000,200.000,0.000,200.000,0.000,1,0,0
6.100,200.000,200.000,0.000,200.000,0.000,1,0,0
6.200,200.000,200.000,0.000,200.000,0.000,1,0,0
6.300,200.000,200.000,0.000,200.000,0.000,1,0,0
6.400,200.000,200.000,0.000,200.000,0.000,1,0,0
6.500,200.000,200.000,0.000,200.000,0.000,1,0,0
6.600,200.000,200.000,0.000,200.000,0.000,1,0,0
6.700,200.000,200.000,0.000,200.000,0.000,1,0,0
6.800,200.000,200.000,0.000,200.000,0.000,1,0,0
6.900,200.000,200.000,0.000,200.000,0.000,1,0,0
7.000,200.000,200.000,0.000,200.000,0.000,1,0,0
7.100,200.000,200.000,0.000,200.000,0.000,1,0,0
7.200,200.000,200.000,0.000,200.000,0.000,1,0,0
7.300,200.000,200.000,0.000,200.000,0.000,1,0,0
7.400,200.000,200.000,0.000,200.000,0.000,1,0,0
7.500,200.000,200.000,0.000,200.000,0.000,1,0,0
7.600,200.000,200.000,0.000,200.000,0.000,1,0,0
7.700,200.000,200.000,0.000,200.000,0.000,1,0,0
7.800,200.000,200.000,0.000,200.000,0.000,1,0,0
7.900,200.000,200.000,0.000,200.000,0.000,1,0,0
8.000,200.000,200.000,0.000,200.000,0.000,1,0,0
8.100,200.000,200.000,0.000,200.000,0.000,1,0,0
8.200,200.000,200.000,0.000,200.000,0.000,1,0,0
8.300,200.000,200.000,0.000,200.000,0.000,1,0,0
8.400,200.000,200.000,0.000,200.000,0.000,1,0,0
8.500,200.000,200.000,0.000,200.000,0.000,1,0,0
8.600,200.000,200.000,0.000,200.000,0.000,1,0,0
8.700,200.000,200.000,0.000,200.000,0.000,1,0,0
8.800,200.000,200.000,0.000,200.000,0.000,1,0,0
8.900,200.000,200.000,0.000,200.000,0.000,1,0,0
9.000,200.000,200.000,0.000,200.000,0.000,1,0,0
9.100,200.000,200.000,0.000,200.000,0.000,1,0,0
9.200,200.000,200.000,0.000,200.000,0.000,1,0,0
9.300,200.000,200.000,0.000,200.000,0.000,1,0,0
9.400,200.000,200.000,0.000,200.000,0.000,1,0,0
9.500,200.000,200.000,0.000,200.000,0.000,1,0,0
9.600,200.000,200.000,0.000,200.000,0.000,1,0,0
9.700,200.000,200.000,0.000,200.000,0.000,1,0,0
9.800,200.000,200.000,0.000,200.000,0.000,1,0,0
9.900,200.000,200.000,0.000,200.000,0.000,1,0,0
10.000,200.000,200.000,0.000,200.000,0.000,1,0,0
10.100,200.000,200.000,0.000,200.000,0.000,1,0,0
10.200,200.000,200.000,0.000,200.000,0.000,1,0,0
10.300,200.000,200.000,0.000,200.000,0.000,1,0,0
10.400,200.000,200.000,0.000,200.000,0.000,1,0,0
10.500,200.000,200.000,0.000,200.000,0.000,1,0,0
10.600,200.000,200.000,0.000,200.000,0.000,1,0,0
10.700,200.000,200.000,0.000,200.000,0.000,1,0,0
10.800,200.000,200.000,0.000,200.000,0.000,1,0,0
10.900,200.000,200.000,0.000,200.000,0.000,1,0,0
11.000,200.000,200.000,0.000,200.000,0.000,1,0,0
11.100,200.000,200.000,0.000,200.000,0.000,1,0,0
11.200,200.000,200.000,0.000,200.000,0.000,1,0,0
11.300,200.000,200.000,0.000,200.000,0.000,1,0,0
11.400,200.000,200.000,0.000,200.000,0.000,1,0,0
11.500,200.000,200.000,0.000,200.000,0.000,1,0,0
11.600,200.000,200.000,0.000,200.000,0.000,1,0,0
11.700,200.000,200.000,0.000,200.000,0.000,1,0,0
11.800,200.000,200.000,0.000,200.000,0.000,1,0,0
11.900,200.000,200.000,0.000,200.000,0.000,1,0,0
12.000,200.000,200.000,0.000,200.000,0.000,1,0,0
12.100,200.000,200.000,0.000,200.000,0.000,1,0,0
12.200,200.000,200.000,0.000,200.000,0.000,1,0,0
12.300,200.000,200.000,0.000,200.000,0.000,1,0,0
12.400,200.000,200.000,0.000,200.000,0.000,1,0,0
12.500,200.000,200.000,0.000,200.000,0.000,1,0,0
12.600,200.000,200.000,0.000,200.000,0.000,1,0,0
12.700,200.000,200.000,0.000,200.000,0.000,1,0,0
12.800,200.000,200.000,0.000,200.000,0.000,1,0,0
12.900,200.000,200.000,0.000,200.000,0.000,1,0,0
13.000,200.000,200.000,0.000,200.000,0.000,1,0,0
13.100,200.000,200.000,0.000,200.000,0.000,1,0,0
13.200,200.000,200.000,0.000,200.000,0.000,1,0,0
13.300,200.000,200.000,0.000,200.000,0.000,1,0,0
13.400,200.000,200.000,0.000,200.000,0.000,1,0,0
13.500,200.000,200.000,0.000,200.000,0.000,1,0,0
13.600,200.000,200.000,0.000,200.000,0.000,1,0,0
13.700,200.000,200.000,0.000,200.000,0.000,1,0,0
13.800,200.000,200.000,0.000,200.000,0.000,1,0,0
13.900,200.000,200.000,0.000,200.000,0.000,1,0,0
