Time_s,P_pv_kW,P_smooth_kW,P_comp_kW,SOC_pct,P_grid_kW,data_valid,smoothing_enabled
0.000,200.000,200.000,0.000,50.000,200.000,1,1
0.100,202.513,200.004,-2.509,50.000,200.004,1,1
0.200,205.025,200.013,-5.013,50.000,200.013,1,1
0.300,207.535,200.025,-7.510,50.000,200.025,1,1
0.400,210.041,200.042,-10.000,50.000,200.042,1,1
0.500,212.543,200.063,-12.481,50.001,200.063,1,1
0.600,215.040,200.087,-14.953,50.001,200.087,1,1
0.700,217.530,200.116,-17.414,50.001,200.116,1,1
0.800,220.012,200.150,-19.863,50.001,200.150,1,1
0.900,222.486,200.187,-22.299,50.002,200.187,1,1
1.000,224.949,200.228,-24.721,50.002,200.228,1,1
1.100,227.402,200.273,-27.129,50.002,200.273,1,1
1.200,229.843,200.322,-29.520,50.003,200.322,1,1
1.300,232.270,200.376,-31.895,50.003,200.376,1,1
1.400,234.684,200.433,-34.251,50.004,200.433,1,1
1.500,237.082,200.494,-36.588,50.004,200.494,1,1
1.600,239.464,200.558,-38.906,50.005,200.558,1,1
1.700,241.829,200.627,-41.202,50.005,200.627,1,1
1.800,244.175,200.700,-43.475,50.006,200.700,1,1
1.900,246.502,200.776,-45.726,50.006,200.776,1,1
2.000,248.808,200.856,-47.953,50.007,200.856,1,1
2.100,251.094,200.939,-50.154,50.008,200.939,1,1
2.200,253.356,201.026,-52.330,50.009,201.026,1,1
2.300,255.596,201.117,-54.478,50.009,201.117,1,1
2.400,257.810,201.212,-56.599,50.010,201.212,1,1
2.500,260.000,201.309,-58.691,50.011,201.309,1,1
2.600,262.163,201.411,-60.753,50.012,201.411,1,1
2.700,264.299,201.515,-62.784,50.013,201.515,1,1
2.800,266.407,201.623,-64.784,50.014,201.623,1,1
2.900,268.486,201.735,-66.751,50.014,201.735,1,1
3.000,270.534,201.849,-68.685,50.015,201.849,1,1
3.100,272.552,201.967,-70.585,50.016,201.967,1,1
3.200,274.538,202.087,-72.450,50.017,202.087,1,1
3.300,276.491,202.211,-74.280,50.018,202.211,1,1
3.400,278.410,202.338,-76.072,50.019,202.338,1,1
3.500,280.296,202.468,-77.828,50.021,202.468,1,1
3.600,282.146,202.600,-79.545,50.022,202.600,1,1
3.700,283.960,202.736,-81.224,50.023,202.736,1,1
3.800,285.737,202.874,-82.863,50.024,202.874,1,1
3.900,287.476,203.015,-84.462,50.025,203.015,1,1
4.000,289.177,203.158,-86.019,50.026,203.158,1,1
4.100,290.839,203.304,-87.536,50.028,203.304,1,1
4.200,292.462,203.452,-89.009,50.029,203.452,1,1
4.300,294.043,203.603,-90.440,50.030,203.603,1,1
4.400,295.584,203.756,-91.828,50.031,203.756,1,1
4.500,297.082,203.911,-93.171,50.033,203.911,1,1
4.600,298.538,204.069,-94.469,50.034,204.069,1,1
4.700,299.951,204.228,-95.722,50.035,204.228,1,1
4.800,301.319,204.390,-96.930,50.037,204.390,1,1
4.900,302.644,204.553,-98.090,50.038,204.553,1,1
5.000,303.923,204.719,-99.204,50.039,204.719,1,1
5.100,305.157,204.886,-100.000,50.041,205.157,1,1
5.200,306.344,205.055,-100.000,50.042,206.344,1,1
5.300,307.485,205.225,-100.000,50.043,207.485,1,1
5.400,308.579,205.397,-100.000,50.045,208.579,1,1
5.500,309.625,205.570,-100.000,50.046,209.625,1,1
5.600,310.624,205.745,-100.000,50.048,210.624,1,1
5.700,311.573,205.921,-100.000,50.049,211.573,1,1
5.800,312.474,206.099,-100.000,50.050,212.474,1,1
5.900,313.325,206.277,-100.000,50.052,213.325,1,1
6.000,314.127,206.456,-100.000,50.053,214.127,1,1
6.100,314.878,206.637,-100.000,50.055,214.878,1,1
6.200,315.580,206.818,-100.000,50.056,215.580,1,1
6.300,316.230,207.000,-100.000,50.057,216.230,1,1
6.400,316.829,207.183,-100.000,50.059,216.829,1,1
6.500,317.378,207.366,-100.000,50.060,217.378,1,1
6.600,317.874,207.550,-100.000,50.062,217.874,1,1
6.700,318.320,207.734,-100.000,50.063,218.320,1,1
6.800,318.713,207.919,-100.000,50.064,218.713,1,1
6.900,319.054,208.104,-100.000,50.066,219.054,1,1
7.000,319.343,208.289,-100.000,50.067,219.343,1,1
7.100,319.579,208.474,-100.000,50.068,219.579,1,1
7.200,319.763,208.659,-100.000,50.070,219.763,1,1
7.300,319.895,208.844,-100.000,50.071,219.895,1,1
7.400,319.974,209.029,-100.000,50.073,219.974,1,1
7.500,320.000,209.214,-100.000,50.074,220.000,1,1
7.600,319.974,209.398,-100.000,50.075,219.974,1,1
7.700,319.895,209.582,-100.000,50.077,219.895,1,1
7.800,319.763,209.765,-100.000,50.078,219.763,1,1
7.900,319.579,209.948,-100.000,50.080,219.579,1,1
8.000,319.343,210.130,-100.000,50.081,219.343,1,1
8.100,319.054,210.311,-100.000,50.082,219.054,1,1
8.200,318.713,210.492,-100.000,50.084,218.713,1,1
8.300,318.320,210.671,-100.000,50.085,218.320,1,1
8.400,317.874,210.850,-100.000,50.087,217.874,1,1
8.500,317.378,211.027,-100.000,50.088,217.378,1,1
8.600,316.829,211.203,-100.000,50.089,216.829,1,1
8.700,316.230,211.378,-100.000,50.091,216.230,1,1
8.800,315.580,211.551,-100.000,50.092,215.580,1,1
8.900,314.878,211.723,-100.000,50.093,214.878,1,1
9.000,314.127,211.893,-100.000,50.095,214.127,1,1
9.100,313.325,212.062,-100.000,50.096,213.325,1,1
9.200,312.474,212.229,-100.000,50.098,212.474,1,1
9.300,311.573,212.395,-99.179,50.099,212.395,1,1
9.400,310.624,212.558,-98.066,50.100,212.558,1,1
9.500,309.625,212.719,-96.906,50.102,212.719,1,1
9.600,308.579,212.879,-95.700,50.103,212.879,1,1
9.700,307.485,213.036,-94.449,50.104,213.036,1,1
9.800,306.344,213.192,-93.153,50.106,213.192,1,1
9.900,305.157,213.345,-91.812,50.107,213.345,1,1
10.000,303.923,213.495,-90.428,50.108,213.495,1,1
10.100,302.644,213.644,-89.000,50.109,213.644,1,1
10.200,301.319,213.790,-87.530,50.111,213.790,1,1
10.300,299.951,213.933,-86.018,50.112,213.933,1,1
10.400,298.538,214.074,-84.464,50.113,214.074,1,1
10.500,297.082,214.212,-82.870,50.114,214.212,1,1
10.600,295.584,214.347,-81.236,50.115,214.347,1,1
10.700,294.043,214.480,-79.563,50.116,214.480,1,1
10.800,292.462,214.610,-77.852,50.117,214.610,1,1
10.900,290.839,214.736,-76.103,50.119,214.736,1,1
11.000,289.177,214.860,-74.317,50.120,214.860,1,1
11.100,287.476,214.981,-72.495,50.121,214.981,1,1
11.200,285.737,215.099,-70.638,50.122,215.099,1,1
11.300,283.960,215.213,-68.746,50.123,215.213,1,1
11.400,282.146,215.325,-66.821,50.123,215.325,1,1
11.500,280.296,215.433,-64.863,50.124,215.433,1,1
11.600,278.410,215.538,-62.873,50.125,215.538,1,1
11.700,276.491,215.639,-60.852,50.126,215.639,1,1
11.800,274.538,215.737,-58.801,50.127,215.737,1,1
11.900,272.552,215.832,-56.720,50.128,215.832,1,1
12.000,270.534,215.923,-54.612,50.128,215.923,1,1
12.100,268.486,216.010,-52.476,50.129,216.010,1,1
12.200,266.407,216.094,-50.313,50.130,216.094,1,1
12.300,264.299,216.174,-48.125,50.131,216.174,1,1
12.400,262.163,216.251,-45.913,50.131,216.251,1,1
12.500,260.000,216.324,-43.676,50.132,216.324,1,1
12.600,257.810,216.393,-41.418,50.132,216.393,1,1
12.700,255.596,216.458,-39.138,50.133,216.458,1,1
12.800,253.356,216.519,-36.837,50.133,216.519,1,1
12.900,251.094,216.577,-34.517,50.134,216.577,1,1
13.000,248.808,216.630,-32.178,50.134,216.630,1,1
13.100,246.502,216.680,-29.822,50.135,216.680,1,1
13.200,244.175,216.726,-27.449,50.135,216.726,1,1
13.300,241.829,216.768,-25.061,50.135,216.768,1,1
13.400,239.464,216.805,-22.659,50.136,216.805,1,1
13.500,237.082,216.839,-20.243,50.136,216.839,1,1
13.600,234.684,216.869,-17.815,50.136,216.869,1,1
