Time_s,P_pv_kW,P_smooth_kW,P_comp_kW,SOC_pct,P_grid_kW,data_valid,smoothing_enabled
0.000,200.000,200.000,0.000,75.000,200.000,1,1
0.100,200.000,200.000,0.000,75.000,200.000,1,1
0.200,200.000,200.000,0.000,75.000,200.000,1,1
0.300,200.000,200.000,0.000,75.000,200.000,1,1
0.400,200.000,200.000,0.000,75.000,200.000,1,1
0.500,200.000,200.000,0.000,75.000,200.000,1,1
0.600,200.000,200.000,0.000,75.000,200.000,1,1
0.700,200.000,200.000,0.000,75.000,200.000,1,1
0.800,200.000,200.000,0.000,75.000,200.000,1,1
0.900,200.000,200.000,0.000,75.000,200.000,1,1
1.000,200.000,200.000,0.000,75.000,200.000,1,1
1.100,200.000,200.000,0.000,75.000,200.000,1,1
1.200,200.000,200.000,0.000,75.000,200.000,1,1
1.300,200.000,200.000,0.000,75.000,200.000,1,1
1.400,200.000,200.000,0.000,75.000,200.000,1,1
1.500,200.000,200.000,0.000,75.000,200.000,1,1
1.600,200.000,200.000,0.000,75.000,200.000,1,1
1.700,200.000,200.000,0.000,75.000,200.000,1,1
1.800,200.000,200.000,0.000,75.000,200.000,1,1
1.900,200.000,200.000,0.000,75.000,200.000,1,1
2.000,200.000,200.000,0.000,75.000,200.000,1,1
2.100,200.000,200.000,0.000,75.000,200.000,1,1
2.200,200.000,200.000,0.000,75.000,200.000,1,1
2.300,200.000,200.000,0.000,75.000,200.000,1,1
2.400,200.000,200.000,0.000,75.000,200.000,1,1
2.500,200.000,200.000,0.000,75.000,200.000,1,1
2.600,200.000,200.000,0.000,75.000,200.000,1,1
2.700,200.000,200.000,0.000,75.000,200.000,1,1
2.800,200.000,200.000,0.000,75.000,200.000,1,1
2.900,200.000,200.000,0.000,75.000,200.000,1,1
3.000,200.000,200.000,0.000,75.000,200.000,1,1
3.100,200.000,200.000,0.000,75.000,200.000,1,1
3.200,200.000,200.000,0.000,75.000,200.000,1,1
3.300,200.000,200.000,0.000,75.000,200.000,1,1
3.400,200.000,200.000,0.000,75.000,200.000,1,1
3.500,200.000,200.000,0.000,75.000,200.000,1,1
3.600,200.000,200.000,0.000,75.000,200.000,1,1
3.700,200.000,200.000,0.000,75.000,200.000,1,1
