Time_s,P_pv_kW,P_smooth_kW,P_comp_kW,SOC_pct,P_grid_kW,data_valid,smoothing_enabled
0.000,200.000,200.000,0.000,50.000,200.000,1,1
0.100,200.262,200.000,-0.261,50.000,200.000,1,1
0.200,200.524,200.001,-0.522,50.000,200.001,1,1
0.300,200.785,200.003,-0.783,50.000,200.003,1,1
0.400,201.047,200.004,-1.043,50.000,200.004,1,1
0.500,201.309,200.007,-1.302,50.000,200.007,1,1
0.600,201.571,200.009,-1.561,50.000,200.009,1,1
0.700,201.832,200.012,-1.820,50.000,200.012,1,1
0.800,202.094,200.016,-2.078,50.000,200.016,1,1
0.900,202.355,200.020,-2.336,50.000,200.020,1,1
1.000,202.617,200.024,-2.593,50.000,200.024,1,1
1.100,202.878,200.029,-2.850,50.000,200.029,1,1
1.200,203.140,200.034,-3.106,50.000,200.034,1,1
1.300,203.401,200.039,-3.361,50.000,200.039,1,1
1.400,203.662,200.045,-3.617,50.000,200.045,1,1
1.500,203.923,200.052,-3.871,50.000,200.052,1,1
1.600,204.184,200.059,-4.125,50.000,200.059,1,1
1.700,204.445,200.066,-4.379,50.001,200.066,1,1
1.800,204.705,200.074,-4.632,50.001,200.074,1,1
1.900,204.966,200.082,-4.884,50.001,200.082,1,1
2.000,205.226,200.090,-5.136,50.001,200.090,1,1
2.100,205.487,200.099,-5.387,50.001,200.099,1,1
2.200,205.747,200.109,-5.638,50.001,200.109,1,1
2.300,206.007,200.119,-5.888,50.001,200.119,1,1
2.400,206.267,200.129,-6.138,50.001,200.129,1,1
2.500,206.526,200.139,-6.387,50.001,200.139,1,1
2.600,206.786,200.151,-6.635,50.001,200.151,1,1
2.700,207.045,200.162,-6.883,50.001,200.162,1,1
2.800,207.304,200.174,-7.130,50.001,200.174,1,1
2.900,207.563,200.186,-7.377,50.002,200.186,1,1
3.000,207.822,200.199,-7.623,50.002,200.199,1,1
3.100,208.080,200.212,-7.868,50.002,200.212,1,1
3.200,208.338,200.226,-8.113,50.002,200.226,1,1
3.300,208.596,200.239,-8.357,50.002,200.239,1,1
3.400,208.854,200.254,-8.600,50.002,200.254,1,1
3.500,209.112,200.269,-8.843,50.002,200.269,1,1
3.600,209.369,200.284,-9.085,50.002,200.284,1,1
3.700,209.626,200.299,-9.327,50.002,200.299,1,1
3.800,209.883,200.315,-9.568,50.003,200.315,1,1
3.900,210.139,200.332,-9.808,50.003,200.332,1,1
4.000,210.396,200.348,-10.047,50.003,200.348,1,1
4.100,210.652,200.365,-10.286,50.003,200.365,1,1
4.200,210.907,200.383,-10.524,50.003,200.383,1,1
4.300,211.163,200.401,-10.762,50.003,200.401,1,1
4.400,211.418,200.419,-10.998,50.003,200.419,1,1
4.500,211.672,200.438,-11.234,50.004,200.438,1,1
4.600,211.927,200.457,-11.470,50.004,200.457,1,1
4.700,212.181,200.477,-11.704,50.004,200.477,1,1
4.800,212.434,200.496,-11.938,50.004,200.496,1,1
