Time(s)	P_load(kW)	P_pv(kW)	P_grid(kW)	ChargeReq(kW)
0	200	250	-1.987	48.01
0.1	200	250	-1.987	48.01
0.2	200	250	-1.987	48.01
0.3	200	250	-1.987	48.01
0.4	200	250	-1.987	48.01
0.5	200	250	-1.987	48.01
0.6	200	250	-1.987	48.01
0.7	200	250	-1.987	48.01
0.8	200	250	-1.987	48.01
0.9	200	250	-1.987	48.01
1	200	250	-1.987	48.01
1.1	100	250	-102	98.03
1.2	100	250	-51.97	74.04
1.3	100	250	-75.96	86.55
1.4	100	250	-63.45	81.06
1.5	100	250	-68.94	84.44
1.6	100	250	-65.56	83.44
1.7	100	250	-66.56	84.59
1.8	100	250	-65.41	84.68
1.9	100	250	-65.32	85.29
2	100	250	-64.71	85.64
2.1	100	250	-64.36	86.11
2.2	100	250	-63.89	86.52
2.3	100	250	-63.48	86.95
2.4	100	250	-63.05	87.37
2.5	100	250	-62.63	87.79
2.6	100	250	-62.21	88.21
2.7	100	250	-61.79	88.62
2.8	100	250	-61.38	89.03
2.9	100	250	-60.97	89.44
3	100	250	-60.56	89.85
3.1	100	250	-60.15	90.25
3.2	100	250	-59.75	90.65
3.3	100	250	-59.35	91.05
3.4	100	250	-58.95	91.44
3.5	100	250	-58.56	91.83
3.6	100	250	-58.17	92.22
3.7	100	250	-57.78	92.61
3.8	100	250	-57.39	93
3.9	100	250	-57	93.38
4	100	250	-56.62	93.76
4.1	100	250	-56.24	94.13
4.2	100	250	-55.87	94.51
4.3	100	250	-55.49	94.88
4.4	100	250	-55.12	95.25
4.5	100	250	-54.75	95.61
4.6	100	250	-54.39	95.98
4.7	100	250	-54.02	96.34
4.8	100	250	-53.66	96.7
4.9	100	250	-53.3	97.06
5	100	250	-52.94	97.41
5.1	100	250	-52.59	97.76
5.2	100	250	-52.24	98.11
5.3	100	250	-51.89	98.46
5.4	100	250	-51.54	98.81
5.5	100	250	-51.19	99.15
5.6	100	250	-50.85	99.49
5.7	100	250	-50.51	99.83
5.8	100	250	-50.17	100.2
5.9	100	250	-49.84	100.5
6	100	250	-49.5	100.8
6.1	100	250	-49.17	101.2
6.2	100	250	-48.84	101.5
6.3	100	250	-48.51	101.8
6.4	100	250	-48.19	102.1
6.5	100	250	-47.87	102.5
6.6	100	250	-47.55	102.8
6.7	100	250	-47.23	103.1
6.8	100	250	-46.91	103.4
6.9	100	250	-46.6	103.7
7	100	250	-46.29	104
7.1	100	250	-45.98	104.3
7.2	100	250	-45.67	104.6
7.3	100	250	-45.36	104.9
7.4	100	250	-45.06	105.2
7.5	100	250	-44.76	105.5
7.6	100	250	-44.46	105.8
7.7	100	250	-44.16	106.1
7.8	100	250	-43.86	106.4
7.9	100	250	-43.57	106.7
8	100	250	-43.28	107
8.1	100	250	-42.99	107.3
8.2	100	250	-42.7	107.6
8.3	100	250	-42.41	107.9
8.4	100	250	-42.13	108.2
8.5	100	250	-41.85	108.4
8.6	100	250	-41.57	108.7
8.7	100	250	-41.29	109
8.8	100	250	-41.01	109.3
8.9	100	250	-40.74	109.5
9	100	250	-40.47	109.8
9.1	100	250	-40.19	110.1
9.2	100	250	-39.93	110.3
9.3	100	250	-39.66	110.6
9.4	100	250	-39.39	110.9
9.5	100	250	-39.13	111.1
9.6	100	250	-38.87	111.4
9.7	100	250	-38.61	111.7
9.8	100	250	-38.35	111.9
9.9	100	250	-38.09	112.2
10	100	250	-37.84	112.4
10.1	100	250	-37.58	112.7
10.2	100	250	-37.33	112.9
10.3	100	250	-37.08	113.2
10.4	100	250	-36.83	113.4
10.5	100	250	-36.59	113.7
10.6	100	250	-36.34	113.9
10.7	100	250	-36.1	114.1
