Time(s)	P_load(kW)	P_pv(kW)	P_grid(kW)	ChargeReq(kW)
0	100	50	50	0
0.1	100	50	50	0
0.2	100	50	50	0
0.3	100	50	50	0
0.4	100	50	50	0
0.5	100	50	50	0
0.6	100	50	50	0
0.7	100	50	50	0
0.8	100	50	50	0
0.9	100	50	50	0
1	100	50	50	0
1.1	100	50	50	0
1.2	100	50	50	0
1.3	100	50	50	0
1.4	100	50	50	0
1.5	100	50	50	0
1.6	100	50	50	0
1.7	100	50	50	0
1.8	100	50	50	0
1.9	100	50	50	0
2	100	50	50	0
2.1	100	50	50	0
2.2	100	50	50	0
2.3	100	50	50	0
2.4	100	50	50	0
2.5	100	50	50	0
2.6	100	50	50	0
2.7	100	50	50	0
2.8	100	50	50	0
2.9	100	50	50	0
3	100	50	50	0
3.1	100	50	50	0
3.2	100	50	50	0
3.3	100	50	50	0
3.4	100	50	50	0
3.5	100	50	50	0
3.6	100	50	50	0
3.7	100	50	50	0
3.8	100	50	50	0
3.9	100	50	50	0
4	100	50	50	0
4.1	100	50	50	0
4.2	100	50	50	0
4.3	100	50	50	0
4.4	100	50	50	0
4.5	100	50	50	0
4.6	100	50	50	0
4.7	100	50	50	0
4.8	100	50	50	0
4.9	100	50	50	0
5	100	50	50	0
