Time(s)	P_load(kW)	P_pv(kW)	P_grid(kW)	ChargeReq(kW)
0	100	50	50	0
0.1	100	50	50	0
0.2	100	50	50	0
0.3	100	50	50	0
0.4	100	50	50	0
0.5	100	50	50	0
0.6	100	50	50	0
0.7	100	50	50	0
0.8	100	50	50	0
0.9	100	50	50	0
1	100	50	50	0
1.1	100	50	50	0
1.2	100	50	50	0
1.3	100	50	50	0
1.4	100	50	50	0
1.5	100	50	50	0
1.6	100	50	50	0
1.7	100	50	50	0
1.8	100	50	50	0
1.9	100	50	50	0
2	100	200	-100	50
2.1	100	200	-50	26
2.2	100	200	-74	38.5
2.3	100	200	-61.5	32.99
2.4	100	200	-67.01	36.36
2.5	100	200	-63.64	35.35
2.6	100	200	-64.65	36.49
2.7	100	200	-63.51	36.56
2.8	100	200	-63.44	37.16
2.9	100	200	-62.84	37.5
3	100	200	-62.5	37.96
3.1	100	200	-62.04	38.35
3.2	100	200	-61.65	38.78
3.3	100	200	-61.22	39.18
3.4	100	200	-60.82	39.59
3.5	100	200	-60.41	39.99
3.6	100	200	-60.01	40.4
3.7	100	200	-59.6	40.79
3.8	100	200	-59.21	41.19
3.9	100	200	-58.81	41.58
4	100	200	-58.42	41.98
4.1	100	200	-58.02	42.36
4.2	100	200	-57.64	42.75
4.3	100	200	-57.25	43.13
4.4	100	200	-56.87	43.51
4.5	100	200	-56.49	43.89
4.6	100	200	-56.11	44.27
4.7	100	200	-55.73	44.64
4.8	100	200	-55.36	45.01
4.9	100	200	-54.99	45.38
5	100	200	-54.62	45.75
5.1	100	200	-54.25	46.11
5.2	100	200	-53.89	46.47
5.3	100	200	-53.53	46.83
5.4	100	200	-53.17	47.19
5.5	100	200	-52.81	47.54
5.6	100	200	-52.46	47.89
5.7	100	200	-52.11	48.24
5.8	100	200	-51.76	48.59
5.9	100	200	-51.41	48.93
6	100	200	-51.07	49.27
6.1	100	200	-50.73	49.61
6.2	100	200	-50.39	49.95
6.3	100	200	-50.05	50.28
6.4	100	200	-49.72	50.62
6.5	100	200	-49.38	50.95
6.6	100	200	-49.05	51.28
6.7	100	200	-48.72	51.6
6.8	100	200	-48.4	51.93
6.9	100	200	-48.07	52.25
7	100	200	-47.75	52.57
7.1	100	200	-47.43	52.89
7.2	100	200	-47.11	53.2
7.3	100	200	-46.8	53.52
7.4	100	200	-46.48	53.83
7.5	100	200	-46.17	54.14
7.6	100	200	-45.86	54.44
7.7	100	200	-45.56	54.75
7.8	100	200	-45.25	55.05
7.9	100	200	-44.95	55.35
8	100	200	-44.65	55.65
8.1	100	200	-44.35	55.95
8.2	100	200	-44.05	56.24
8.3	100	200	-43.76	56.54
8.4	100	200	-43.46	56.83
8.5	100	200	-43.17	57.12
8.6	100	200	-42.88	57.4
8.7	100	200	-42.6	57.69
8.8	100	200	-42.31	57.97
8.9	100	200	-42.03	58.25
9	100	200	-41.75	58.53
9.1	100	200	-41.47	58.81
9.2	100	200	-41.19	59.09
9.3	100	200	-40.91	59.36
9.4	100	200	-40.64	59.63
9.5	100	200	-40.37	59.9
9.6	100	200	-40.1	60.17
9.7	100	200	-39.83	60.44
9.8	100	200	-39.56	60.7
9.9	100	200	-39.3	60.97
10	100	200	-39.03	61.23
10.1	100	200	-38.77	61.49
10.2	100	200	-38.51	61.75
10.3	100	200	-38.25	62
10.4	100	200	-38	62.26
10.5	100	200	-37.74	62.51
10.6	100	200	-37.49	62.76
10.7	100	200	-37.24	63.01
10.8	100	200	-36.99	63.26
10.9	100	200	-36.74	63.5
11	100	200	-36.5	63.75
11.1	100	200	-36.25	63.99
11.2	100	200	-36.01	64.23
11.3	100	200	-35.77	64.47
11.4	100	200	-35.53	64.71
11.5	100	200	-35.29	64.94
11.6	100	200	-35.06	65.18
11.7	100	200	-34.82	65.41
11.8	100	200	-34.59	65.64
11.9	100	200	-34.36	65.87
12	100	200	-34.13	66.1
12.1	100	200	-33.9	66.33
12.2	100	200	-33.67	66.56
12.3	100	200	-33.44	66.78
12.4	100	200	-33.22	67
12.5	100	200	-33	67.22
12.6	100	200	-32.78	67.44
12.7	100	200	-32.56	67.66
12.8	100	200	-32.34	67.88
12.9	100	200	-32.12	68.09
13	100	200	-31.91	68.31
13.1	100	200	-31.69	68.52
13.2	100	200	-31.48	68.73
13.3	100	200	-31.27	68.94
13.4	100	200	-31.06	69.15
13.5	100	200	-30.85	69.35
13.6	100	200	-30.65	69.56
13.7	100	200	-30.44	69.76
13.8	100	200	-30.24	69.96
13.9	100	200	-30.04	70.17
14	100	200	-29.83	70.37
14.1	100	200	-29.63	70.56
14.2	100	200	-29.44	70.76
14.3	100	200	-29.24	70.96
14.4	100	200	-29.04	71.15
14.5	100	200	-28.85	71.34
14.6	100	200	-28.66	71.54
14.7	100	200	-28.46	71.73
14.8	100	200	-28.27	71.92
14.9	100	200	-28.08	72.1
15	100	200	-27.9	72.29
15.1	100	200	-27.71	72.48
15.2	100	200	-27.52	72.66
15.3	100	200	-27.34	72.84
15.4	100	200	-27.16	73.03
15.5	100	200	-26.97	73.21
15.6	100	200	-26.79	73.39
15.7	100	200	-26.61	73.56
15.8	100	200	-26.44	73.74
15.9	100	200	-26.26	73.92
16	100	200	-26.08	74.09
16.1	100	200	-25.91	74.27
16.2	100	200	-25.73	74.44
16.3	100	200	-25.56	74.61
16.4	100	200	-25.39	74.78
16.5	100	200	-25.22	74.95
16.6	100	200	-25.05	75.12
16.7	100	200	-24.88	75.28
16.8	100	200	-24.72	75.45
16.9	100	200	-24.55	75.61
17	100	200	-24.39	75.78
17.1	100	200	-24.22	75.94
17.2	100	200	-24.06	76.1
17.3	100	200	-23.9	76.26
17.4	100	200	-23.74	76.42
17.5	100	200	-23.58	76.58
17.6	100	200	-23.42	76.73
17.7	100	200	-23.27	76.89
17.8	100	200	-23.11	77.04
17.9	100	200	-22.96	77.2
18	100	200	-22.8	77.35
18.1	100	200	-22.65	77.5
18.2	100	200	-22.5	77.65
18.3	100	200	-22.35	77.8
18.4	100	200	-22.2	77.95
18.5	100	200	-22.05	78.1
18.6	100	200	-21.9	78.24
18.7	100	200	-21.76	78.39
18.8	100	200	-21.61	78.53
18.9	100	200	-21.47	78.68
19	100	200	-21.32	78.82
19.1	100	200	-21.18	78.96
19.2	100	200	-21.04	79.1
19.3	100	200	-20.9	79.24
19.4	100	200	-20.76	79.38
19.5	100	200	-20.62	79.52
19.6	100	200	-20.48	79.66
19.7	100	200	-20.34	79.79
19.8	100	200	-20.21	79.93
19.9	100	200	-20.07	80.06
20	100	200	-19.94	80.2
20.1	100	200	-19.8	80.33
20.2	100	200	-19.67	80.46
20.3	100	200	-19.54	80.59
20.4	100	200	-19.41	80.72
20.5	100	200	-19.28	80.85
20.6	100	200	-19.15	80.98
20.7	100	200	-19.02	81.11
20.8	100	200	-18.89	81.23
20.9	100	200	-18.77	81.36
21	100	200	-18.64	81.48
21.1	100	200	-18.52	81.61
21.2	100	200	-18.39	81.73
21.3	100	200	-18.27	81.85
21.4	100	200	-18.15	81.98
21.5	100	200	-18.02	82.1
21.6	100	200	-17.9	82.22
21.7	100	200	-17.78	82.34
21.8	100	200	-17.66	82.45
21.9	100	200	-17.55	82.57
22	100	200	-17.43	82.69
22.1	100	200	-17.31	82.8
22.2	100	200	-17.2	82.92
22.3	100	200	-17.08	83.03
22.4	100	200	-16.97	83.15
22.5	100	200	-16.85	83.26
22.6	100	200	-16.74	83.37
22.7	100	200	-16.63	83.48
22.8	100	200	-16.52	83.59
22.9	100	200	-16.41	83.7
23	100	200	-16.3	83.81
23.1	100	200	-16.19	83.92
23.2	100	200	-16.08	84.03
23.3	100	200	-15.97	84.14
23.4	100	200	-15.86	84.24
23.5	100	200	-15.76	84.35
23.6	100	200	-15.65	84.45
23.7	100	200	-15.55	84.56
23.8	100	200	-15.44	84.66
23.9	100	200	-15.34	84.76
24	100	200	-15.24	84.86
24.1	100	200	-15.14	84.97
24.2	100	200	-15.03	85.07
24.3	100	200	-14.93	85.17
24.4	100	200	-14.83	85.27
24.5	100	200	-14.73	85.36
24.6	100	200	-14.64	85.46
24.7	100	200	-14.54	85.56
24.8	100	200	-14.44	85.66
24.9	100	200	-14.34	85.75
25	100	200	-14.25	85.85
25.1	100	200	-14.15	85.94
25.2	100	200	-14.06	86.04
25.3	100	200	-13.96	86.13
25.4	100	200	-13.87	86.22
25.5	100	200	-13.78	86.32
25.6	100	200	-13.68	86.41
25.7	100	200	-13.59	86.5
25.8	100	200	-13.5	86.59
25.9	100	200	-13.41	86.68
26	100	200	-13.32	86.77
26.1	100	200	-13.23	86.86
26.2	100	200	-13.14	86.94
26.3	100	200	-13.06	87.03
26.4	100	200	-12.97	87.12
26.5	100	200	-12.88	87.2
26.6	100	200	-12.8	87.29
26.7	100	200	-12.71	87.38
26.8	100	200	-12.62	87.46
26.9	100	200	-12.54	87.54
27	100	200	-12.46	87.63
27.1	100	200	-12.37	87.71
27.2	100	200	-12.29	87.79
27.3	100	200	-12.21	87.87
27.4	100	200	-12.13	87.96
27.5	100	200	-12.04	88.04
27.6	100	200	-11.96	88.12
27.7	100	200	-11.88	88.2
27.8	100	200	-11.8	88.28
