# 典型日曲线 96 点（15 min）：idx,time_h,price_cny_kwh,p_load_kw,p_pv_kw
idx,time_h,price_cny_kwh,p_load_kw,p_pv_kw
0,0.00,0.3000,250.00,0.00
1,0.25,0.3000,250.00,0.00
2,0.50,0.3000,250.00,0.00
3,0.75,0.3000,250.00,0.00
4,1.00,0.3000,250.01,0.00
5,1.25,0.3000,250.01,0.00
6,1.50,0.3000,250.02,0.00
7,1.75,0.3000,250.03,0.00
8,2.00,0.3000,250.05,0.00
9,2.25,0.3000,250.08,0.00
10,2.50,0.3000,250.13,0.00
11,2.75,0.3000,250.21,0.00
12,3.00,0.3000,250.33,0.00
13,3.25,0.3000,250.50,0.00
14,3.50,0.3000,250.76,0.00
15,3.75,0.3000,251.14,0.00
16,4.00,0.3000,251.67,0.00
17,4.25,0.3000,252.41,0.00
18,4.50,0.3000,253.42,0.00
19,4.75,0.3000,254.78,0.00
20,5.00,0.3000,256.59,0.00
21,5.25,0.3000,258.94,0.00
22,5.50,0.3000,261.93,0.00
23,5.75,0.3000,265.69,0.00
24,6.00,0.3000,270.30,0.00
25,6.25,0.3000,275.86,19.62
26,6.50,0.3000,282.44,39.16
27,6.75,0.3000,290.06,58.53
28,7.00,0.6000,298.70,77.65
29,7.25,0.6000,308.28,96.43
30,7.50,0.6000,318.68,114.81
31,7.75,0.6000,329.66,132.69
32,8.00,0.6000,340.98,150.00
33,8.25,0.6000,352.29,166.67
34,8.50,0.6000,363.23,182.63
35,8.75,0.6000,373.39,197.80
36,9.00,1.0000,382.37,212.13
37,9.25,1.0000,389.82,225.55
38,9.50,1.0000,395.39,238.01
39,9.75,1.0000,398.83,249.44
40,10.00,1.0000,400.00,259.81
41,10.25,1.0000,398.83,269.06
42,10.50,1.0000,395.39,277.16
43,10.75,1.0000,389.82,284.08
44,11.00,1.0000,382.38,289.78
45,11.25,1.0000,373.40,294.24
46,11.50,1.0000,363.24,297.43
47,11.75,1.0000,352.32,299.36
48,12.00,0.6000,341.04,300.00
49,12.25,0.6000,329.77,299.36
50,12.50,0.6000,318.85,297.43
51,12.75,0.6000,308.58,294.24
52,13.00,0.6000,299.19,289.78
53,13.25,0.6000,290.87,284.08
54,13.50,0.6000,283.73,277.16
55,13.75,0.6000,277.89,269.06
56,14.00,1.0000,273.40,259.81
57,14.25,1.0000,270.34,249.44
58,14.50,1.0000,268.78,238.01
59,14.75,1.0000,268.79,225.55
60,15.00,1.0000,270.49,212.13
61,15.25,1.0000,273.98,197.80
62,15.50,1.0000,279.38,182.63
63,15.75,1.0000,286.80,166.67
64,16.00,1.0000,296.29,150.00
65,16.25,1.0000,307.84,132.69
66,16.50,1.0000,321.34,114.81
67,16.75,1.0000,336.52,96.43
68,17.00,1.2000,353.01,77.65
69,17.25,1.2000,370.26,58.53
70,17.50,1.2000,387.59,39.16
71,17.75,1.2000,404.23,19.62
72,18.00,1.2000,419.35,0.00
73,18.25,1.2000,432.13,0.00
74,18.50,1.2000,441.86,0.00
75,18.75,1.2000,447.94,0.00
76,19.00,1.2000,450.01,0.00
77,19.25,1.2000,447.93,0.00
78,19.50,1.2000,441.84,0.00
79,19.75,1.2000,432.10,0.00
80,20.00,1.2000,419.30,0.00
81,20.25,1.2000,404.15,0.00
82,20.50,1.2000,387.46,0.00
83,20.75,1.2000,370.05,0.00
84,21.00,0.6000,352.68,0.00
85,21.25,0.6000,336.02,0.00
86,21.50,0.6000,320.57,0.00
87,21.75,0.6000,306.71,0.00
88,22.00,0.6000,294.63,0.00
89,22.25,0.6000,284.39,0.00
90,22.50,0.6000,275.96,0.00
91,22.75,0.6000,269.19,0.00
92,23.00,0.3000,263.90,0.00
93,23.25,0.3000,259.85,0.00
94,23.50,0.3000,256.84,0.00
95,23.75,0.3000,254.65,0.00
