# =====================================================================
# P3 / IEC104 转发表（默认表导出形态）
#
# 这是内置默认表（iec104_point_map.h）的 CSV 等价物，供现场以它为底本改。
# 网关用 `--point-map <本文件>` 加载；不加则用编译进去的内置默认表。
#
# 格式（9 列）：ioa,kind,group,name,src,scale,offset,unit,note
#   kind 取：MEAS_FLOAT / MEAS_SCALED / MEAS_NORMALIZED /
#            SINGLE_POINT / DOUBLE_POINT / COUNTER /
#            SET_FLOAT / CMD_SINGLE / CMD_DOUBLE   （大小写不敏感）
#   src 必须与 ems_point_table.h 里的点名逐字一致；控制点 src 留空。
#   name/src/unit 不含 ASCII 逗号；note 可含逗号（取为最后一段）。
#   scale=0 会拒绝（from_protocol 除零）；IOA 唯一、区间见文件头注释。
# =====================================================================
ioa,kind,group,name,src,scale,offset,unit,note
# ---------------- 遥测：功率流 ----------------
4001,MEAS_FLOAT,1,负荷有功,MEAS.P_LOAD,1.0,0.0,kW,正=用电；关口逆流时负荷仍为正
4002,MEAS_FLOAT,1,光伏有功,MEAS.P_PV,1.0,0.0,kW,始终>=0（不建模夜间反送）
4003,MEAS_FLOAT,1,电池功率,MEAS.P_BAT,1.0,0.0,kW,放电为正、充电为负
4004,MEAS_FLOAT,1,关口功率,MEAS.P_GRID,1.0,0.0,kW,购电为正、倒送为负；防逆流 S05 的命门
# ---------------- 遥测：电池状态 ----------------
4005,MEAS_FLOAT,1,SOC,MEAS.SOC,100.0,0.0,%,内部0..1上送百分数（scale=100）
4006,MEAS_FLOAT,1,电池温度,MEAS.T_C,1.0,0.0,degC,
4007,MEAS_FLOAT,1,SOH,MEAS.SOH,100.0,0.0,%,内部0..1上送百分数（scale=100）
# ---------------- 遥测：EMS 决策（含权限区间）----------------
4008,MEAS_FLOAT,1,电池功率指令,CMD.P_BAT,1.0,0.0,kW,EMS 本拍实际下发给 PCS 的值
4009,MEAS_FLOAT,1,允许功率上界,CMD.P_UPPER,1.0,0.0,kW,安全引擎收敛出的区间上界
4010,MEAS_FLOAT,1,允许功率下界,CMD.P_LOWER,1.0,0.0,kW,安全引擎收敛出的区间下界
# ---------------- 遥测：设备与配置 ----------------
4011,MEAS_FLOAT,1,电池额定容量,CFG.BAT_CAP_KWH,1.0,0.0,kWh,
4012,MEAS_FLOAT,1,PCS 额定充电,CFG.PCS_MAX_CHG,1.0,0.0,kW,
4013,MEAS_FLOAT,1,PCS 额定放电,CFG.PCS_MAX_DIS,1.0,0.0,kW,
4014,MEAS_FLOAT,1,契约需量,CFG.D_TARGET,1.0,0.0,kW,S04 需量管理的目标值
4015,MEAS_FLOAT,1,SOC 物理下限,CFG.SOC_PHYS_MIN,100.0,0.0,%,
4016,MEAS_FLOAT,1,SOC 物理上限,CFG.SOC_PHYS_MAX,100.0,0.0,%,
4017,MEAS_FLOAT,1,BMS 充电限值,CFG.BMS_CHG_LIM,1.0,0.0,kW,接真机前必须由 BMS 点表送来
4018,MEAS_FLOAT,1,BMS 放电限值,CFG.BMS_DIS_LIM,1.0,0.0,kW,接真机前必须由 BMS 点表送来
# ---------------- 遥信：通信与故障 ----------------
1001,SINGLE_POINT,1,BMS 通信正常,STA.BMS_COMM_OK,1.0,0.0,,
1002,SINGLE_POINT,1,PCS 通信正常,STA.PCS_COMM_OK,1.0,0.0,,
1003,SINGLE_POINT,1,电表通信正常,STA.METER_COMM_OK,1.0,0.0,,
1004,SINGLE_POINT,1,PCS 故障,STA.PCS_FAULT,1.0,0.0,,1=有故障；会驱动 EMS 状态机进 FAULT
1005,SINGLE_POINT,1,设备离线,STA.OFFLINE,1.0,0.0,,
1006,SINGLE_POINT,1,数据有效,STA.DATA_VALID,1.0,0.0,,0则本 ASDU 内所有量品质置 INVALID
# ---------------- 遥调：设点 ----------------
6001,SET_FLOAT,0,有功功率设定,,1.0,0.0,kW,应映射到权限区间（收窄）而非覆盖 p_desired
6002,SET_FLOAT,0,契约需量设定,,1.0,0.0,kW,写 CFG.D_TARGET 影响 S04 需量管理
6003,SET_FLOAT,0,允许上界设定,,1.0,0.0,kW,调度远程收紧放电权限
6004,SET_FLOAT,0,允许下界设定,,1.0,0.0,kW,调度远程收紧充电权限
# ---------------- 遥控：开关 ----------------
5001,CMD_SINGLE,0,PCS 远程启停,,1.0,0.0,,true=启动 false=停机
5002,CMD_SINGLE,0,EMS 投入退出,,1.0,0.0,,true=EMS接管 false=调度闭锁EMS
